"USD","24040.00","24070.00","24410.00"
"EUR","25920.90","26182.73","27344.23"
"GBP","30150.91","30455.46","31434.87"
"JPY","166.13","167.81","175.86"
"AUD","15859.58","16019.77","16534.95"
"SGD","17792.76","17972.49","18550.46"
"THB","615.83","684.26","710.52"
"CAD","17657.11","17835.47","18409.03"
"CHF","27241.06","27516.22","28401.11"
"HKD","3026.55","3057.12","3155.44"
"CNY","3343.20","3376.97","3486.09"
"DKK","0.00","3503.06","3637.48"
"INR","0.00","290.95","302.61"
"KRW","16.19","17.99","19.63"
"KWD","0.00","78683.78","81835.60"
"MYR","0.00","5140.45","5252.96"
"NOK","0.00","2266.23","2362.62"
"RUB","0.00","257.05","284.57"
"SAR","0.00","6443.20","6701.29"
"SEK","0.00","2320.17","2418.86"
