"AUD","-","15,926","15,946","16,546",,,,
"CAD","-","17,826","17,836","18,536",,,,
"CHF","-","27,346","27,366","28,316",,,,
"CNY","-","-","3,338","3,478",,,,
"DKK","-","-","3,456","3,626",,,,
"EUR","-","#25,569","25,779","27,069",,,,
"","-","&25,559","-","-",,,,
"GBP","-","30,187","30,197","31,367",,,,
"HKD","-","2,979","2,989","3,184",,,,
"JPY","-","166.4","166.55","176.1",,,,
"KRW","-","16.44","16.64","20.44",,,,
"LAK","-","-","0.67","1.37",,,,
"NOK","-","-","2,237","2,357",,,,
"NZD","-","14,788","14,798","15,378",,,,
"SEK","-","-","2,285","2,420",,,,
"SGD","-","17,633","17,643","18,443",,,,
"THB","-","640.44","680.44","708.44",,,,
"USD","23,882","#24,010","24,050","24,470",,,,
"","\","&23,160","-","-",,,,
