"AUD","-","15,927","15,947","16,547",,,,
"CAD","-","17,820","17,830","18,530",,,,
"CHF","-","27,349","27,369","28,319",,,,
"CNY","-","-","3,338","3,478",,,,
"DKK","-","-","3,456","3,626",,,,
"EUR","-","#25,572","25,782","27,072",,,,
"","-","&25,562","-","-",,,,
"GBP","-","30,198","30,208","31,378",,,,
"HKD","-","2,979","2,989","3,184",,,,
"JPY","-","166.45","166.6","176.15",,,,
"KRW","-","16.44","16.64","20.44",,,,
"LAK","-","-","0.67","1.37",,,,
"NOK","-","-","2,239","2,359",,,,
"NZD","-","14,801","14,811","15,391",,,,
"SEK","-","-","2,286","2,421",,,,
"SGD","-","17,651","17,661","18,461",,,,
"THB","-","641.93","681.93","709.93",,,,
"USD","23,882","#24,010","24,050","24,470",,,,
"","\","&23,160","-","-",,,,
