"AUD","-","16,065","16,165","16,615",,,,
"CAD","-","17,896","17,996","18,546",,,,
"CHF","-","27,553","27,658","28,458",,,,
"CNY","-","-","3,376","3,486",,,,
"DKK","-","-","3,518","3,648",,,,
"EUR","-","#26,199","26,224","27,334",,,,
"","-","&26,194","-","-",,,,
"GBP","-","30,619","30,669","31,629",,,,
"HKD","-","3,034","3,049","3,184",,,,
"JPY","-","167.86","167.86","175.81",,,,
"KRW","-","16.92","17.72","20.52",,,,
"LAK","-","-","0.88","1.24",,,,
"NOK","-","-","2,278","2,358",,,,
"NZD","-","14,857","14,907","15,424",,,,
"SEK","-","-","2,320","2,430",,,,
"SGD","-","17,820","17,920","18,520",,,,
"THB","-","643.66","688","711.66",,,,
"USD","23,882","#24,027","24,107","24,447",,,,
"","\","&23,172","-","-",,,,
