"AUD","-","16,020","16,120","16,570",,,,
"CAD","-","17,779","17,879","18,429",,,,
"CHF","-","27,396","27,501","28,301",,,,
"CNY","-","-","3,359","3,469",,,,
"DKK","-","-","3,497","3,627",,,,
"EUR","-","#26,044","26,069","27,179",,,,
"","-","&26,039","-","-",,,,
"GBP","-","30,311","30,361","31,321",,,,
"HKD","-","3,031","3,046","3,181",,,,
"JPY","-","168.09","168.09","176.04",,,,
"KRW","-","16.91","17.71","20.51",,,,
"LAK","-","-","0.88","1.24",,,,
"NOK","-","-","2,254","2,334",,,,
"NZD","-","14,827","14,877","15,394",,,,
"SEK","-","-","2,309","2,419",,,,
"SGD","-","17,788","17,888","18,488",,,,
"THB","-","639.53","683.87","707.53",,,,
"USD","23,945","#24,008","24,088","24,428",,,,
"","\","&23,153","-","-",,,,
