"USD","24050.00","24080.00","24420.00"
"EUR","25493.19","25750.70","26893.00"
"GBP","29660.51","29960.11","30923.54"
"JPY","161.88","163.52","171.36"
"AUD","15485.02","15641.43","16144.42"
"SGD","17605.89","17783.73","18355.61"
"THB","600.62","667.36","692.97"
"CAD","17390.92","17566.59","18131.48"
"CHF","27002.01","27274.75","28151.83"
"HKD","3028.00","3058.59","3156.95"
"CNY","3308.50","3341.92","3449.91"
"DKK","0.00","3444.79","3576.96"
"INR","0.00","290.06","301.68"
"KRW","15.90","17.66","19.27"
"KWD","0.00","78467.78","81610.84"
"MYR","0.00","5104.21","5215.92"
"NOK","0.00","2167.84","2260.04"
"RUB","0.00","255.67","283.05"
"SAR","0.00","6449.72","6708.07"
"SEK","0.00","2276.86","2373.70"
